source,target,nu_gap,within_median,separation,n_reps,max_r2,mean_r2,p_global,q_global,src_class,tgt_class
Por,Per1,0.8534818241935558,0.18211324958679434,0.6713685746067615,4,0.8889341216413281,0.41518233251831116,0.011637304024567642,0.04743668715211545,output,clock
Fmo2,Npas2,0.7974474093887107,0.1598373547120632,0.6376100546766476,4,0.7616474056494327,0.2923899974335993,0.014708259253272992,0.04743668715211545,output,clock
Fmo2,Arntl,0.977551217721399,0.1979541770572238,0.7795970406641752,4,0.7434379636951955,0.3010768715608825,0.00598028123484726,0.04743668715211545,output,clock
Por,Cirbp,0.8596417033298434,0.17829383715395197,0.6813478661758914,4,0.7670269068373191,0.3560550829822233,0.011475674802004203,0.04743668715211545,output,external
Por,Hspa1b,0.8016516202206103,0.26051528889891606,0.5411363313216943,4,0.8666038027059919,0.3701950431565393,0.014385000808146113,0.04743668715211545,output,external
Por,Usp2,0.8859102781962691,0.31547353389406885,0.5704367443022003,4,0.5877897573351898,0.24557948530388274,0.010182641021496687,0.04743668715211545,output,output
Por,Abca1,0.8200832354349105,0.27570077507356117,0.5443824603613493,4,0.6781048257479093,0.2192080503477778,0.013253596250202037,0.04743668715211545,output,output
Por,Avpr1a,0.7845331742045036,0.2177773863079467,0.5667557878965569,4,0.6983641164387403,0.32733179673954244,0.01535477614352675,0.04743668715211545,output,output
Por,Hmgcr,0.973704416417505,0.13697781167210726,0.8367266047453978,4,0.705533896147891,0.33464196671614993,0.0061419104574107,0.04743668715211545,output,output
Por,Wee1,0.8646175579448216,0.2534641481415622,0.6111534098032594,4,0.6150981550152583,0.29734210278158574,0.010990787134313885,0.04743668715211545,output,output
Por,Nr1d2,0.8609524777096127,0.2072248979453217,0.653727579764291,4,0.776166810653053,0.3596843491195906,0.011314045579440763,0.04743668715211545,output,clock
Por,Nr1d1,0.8875006946718049,0.17489035016570514,0.7126103445060998,4,0.8482560720054754,0.42154667289190983,0.010182641021496687,0.04743668715211545,output,clock
Por,Cry1,0.7439811001808037,0.41322073335081333,0.3307603668299903,4,0.5259325713041834,0.13465962808351378,0.01874898981735898,0.04743668715211545,output,clock
Por,Per3,0.7974049522662755,0.18125157896825844,0.6161533732980171,4,0.6268948663621942,0.28179278993517703,0.014708259253272992,0.04743668715211545,output,clock
Por,Per2,0.9488112666633123,0.15700352409127855,0.7918077425720338,4,0.8696784415725038,0.4171116871947407,0.0069500565702278975,0.04743668715211545,output,clock
Fmo2,Per1,0.8772794807918228,0.2301797742893273,0.6470997065024955,4,0.8215282774284935,0.4169104011137287,0.010829157911750445,0.04743668715211545,output,clock
Por,Npas2,0.8428089535543555,0.40976600871803603,0.43304294483631944,4,0.7654950458615772,0.1667517411111155,0.0122838209148214,0.04743668715211545,output,clock
Por,Arntl,0.9852479316751523,0.25644058064066966,0.7288073510344827,4,0.5157474381106943,-2.152715129231225,0.00598028123484726,0.04743668715211545,output,clock
Usp2,Pnpla2,0.7755188217874261,0.7233253037068705,0.05219351808055561,4,0.5665506578424095,0.259067664383593,0.01567803458865363,0.04743668715211545,output,external
Slc2a1,Nr1d2,0.8393347601404555,0.19519655845133987,0.6441382016891156,4,0.7594328142403892,0.3507654810120486,0.0122838209148214,0.04743668715211545,output,clock
Slc2a1,Nr1d1,0.7789545582909954,0.10894622911300957,0.6700083291779858,4,0.8098931957727286,0.34431365302697936,0.01567803458865363,0.04743668715211545,output,clock
Slc2a1,Per2,0.8947018439555792,0.2123682761152566,0.6823335678403226,4,0.8397409322673901,0.4220738308596634,0.009859382576369808,0.04743668715211545,output,clock
Slc2a1,Per1,0.7413612225567563,0.19891875472334009,0.5424424678334162,4,0.8492854399131868,0.40965862052896646,0.01891061903992242,0.04743668715211545,output,clock
Slc2a1,Npas2,0.8447015089711695,0.28491863687541136,0.559782872095758,4,0.5317699558014055,0.2615790297427606,0.01212219169225796,0.04743668715211545,output,clock
Slc2a1,Arntl,0.9722238818213841,0.20585281028101765,0.7663710715403664,4,0.6161046205011633,0.2944143251202467,0.0061419104574107,0.04743668715211545,output,clock
Cyp7a1,Pnpla2,0.8135261997488287,0.1823215858987472,0.6312046138500815,4,0.7866762958853672,0.3965252013064901,0.013415225472765475,0.04743668715211545,output,external
