gene,condition,replicate,time_h,log2_expr
Arntl,KO,1,0.0,4.650325943337984
Arntl,KO,1,2.0,3.866076598037965
Arntl,KO,1,4.0,4.451490266052591
Arntl,KO,1,6.0,4.488679080713349
Arntl,KO,1,8.0,4.247261859111225
Arntl,KO,1,10.0,4.4369548062326
Arntl,KO,1,12.0,4.78552717359873
Arntl,KO,1,14.0,4.62913001081911
Arntl,KO,1,16.0,4.54267780001458
Arntl,KO,1,18.0,4.537640292970853
Arntl,KO,1,20.0,4.149195952536266
Arntl,KO,1,22.0,4.605528371815399
Arntl,KO,1,24.0,3.952059356465456
Arntl,KO,1,26.0,4.2809908433377
Arntl,KO,1,28.0,4.254642590090237
Arntl,KO,1,30.0,3.931839675234005
Arntl,KO,1,32.0,4.336402141006696
Arntl,KO,1,34.0,4.774866240598945
Arntl,KO,1,36.0,4.2789801621092876
Arntl,KO,1,38.0,4.062115491364575
Arntl,KO,1,40.0,4.341254133294369
Arntl,KO,1,42.0,4.577498510275374
Arntl,KO,1,44.0,4.412321462700657
Arntl,KO,1,46.0,4.363350072789194
Arntl,KO,1,48.0,4.0117106776175895
Arntl,KO,2,0.0,4.973118003942594
Arntl,KO,2,2.0,4.4961657401918576
Arntl,KO,2,4.0,4.635981380750713
Arntl,KO,2,6.0,4.6748687666486095
Arntl,KO,2,8.0,4.496829304103055
Arntl,KO,2,10.0,3.9345202426996866
Arntl,KO,2,12.0,3.9990802251755015
Arntl,KO,2,14.0,4.089435937042392
Arntl,KO,2,16.0,4.439499284258716
Arntl,KO,2,18.0,4.168891420330602
Arntl,KO,2,20.0,4.692472231243446
Arntl,KO,2,22.0,4.425488004082528
Arntl,KO,2,24.0,4.455366909309315
Arntl,KO,2,26.0,4.551640822708656
Arntl,KO,2,28.0,4.449028025680741
Arntl,KO,2,30.0,4.0113275995656865
Arntl,KO,2,32.0,4.976969157735494
Arntl,KO,2,34.0,4.729749697855795
Arntl,KO,2,36.0,4.744794164345753
Arntl,KO,2,38.0,4.177145668178032
Arntl,KO,2,40.0,3.9021431189827847
Arntl,KO,2,42.0,3.9873587530950245
Arntl,KO,2,44.0,4.100651130295375
Arntl,KO,2,46.0,4.584551368447073
Arntl,KO,2,48.0,4.5890960949214925
Arntl,KO,3,0.0,5.212462296951804
Arntl,KO,3,2.0,4.910345457488334
Arntl,KO,3,4.0,4.430891731481749
Arntl,KO,3,6.0,4.391245904458638
Arntl,KO,3,8.0,4.2339329760174715
Arntl,KO,3,10.0,4.261008789290033
Arntl,KO,3,12.0,4.06848267356333
Arntl,KO,3,14.0,4.4916305824978195
Arntl,KO,3,16.0,4.445310804801546
Arntl,KO,3,18.0,4.264403374581619
Arntl,KO,3,20.0,4.162441436461487
Arntl,KO,3,22.0,4.4787620459851905
Arntl,KO,3,24.0,4.690715076584237
Arntl,KO,3,26.0,4.384388326435955
Arntl,KO,3,28.0,4.434908311321694
Arntl,KO,3,30.0,4.226927741994585
Arntl,KO,3,32.0,4.301855400274497
Arntl,KO,3,34.0,4.284876914222126
Arntl,KO,3,36.0,4.292742335577656
Arntl,KO,3,38.0,4.214705131693787
Arntl,KO,3,40.0,4.463113407459641
Arntl,KO,3,42.0,4.688949754796332
Arntl,KO,3,44.0,4.127223054443656
Arntl,KO,3,46.0,4.713818185345717
Arntl,KO,3,48.0,4.2632656315284105
Arntl,KO,4,0.0,4.756091872528181
Arntl,KO,4,2.0,3.8356164957379844
Arntl,KO,4,4.0,3.6952959036177218
Arntl,KO,4,6.0,4.486481208717171
Arntl,KO,4,8.0,4.05191270628125
Arntl,KO,4,10.0,4.546451542834851
Arntl,KO,4,12.0,4.370585069461883
Arntl,KO,4,14.0,4.426548836907385
Arntl,KO,4,16.0,4.699094236070369
Arntl,KO,4,18.0,4.347614176317865
Arntl,KO,4,20.0,3.54856040924916
Arntl,KO,4,22.0,3.9298678434881475
Arntl,KO,4,24.0,4.607333070224425
Arntl,KO,4,26.0,4.863183865464734
Arntl,KO,4,28.0,4.339978282511528
Arntl,KO,4,30.0,4.18841960265614
Arntl,KO,4,32.0,4.015933041663559
Arntl,KO,4,34.0,4.500515952136097
Arntl,KO,4,36.0,3.914540248757506
Arntl,KO,4,38.0,4.05256355216719
Arntl,KO,4,40.0,4.39800082145872
Arntl,KO,4,42.0,4.389501020718667
Arntl,KO,4,44.0,4.299313359009464
Arntl,KO,4,46.0,4.629863301689656
Arntl,KO,4,48.0,4.053163530141197
Npas2,KO,1,0.0,4.812112568955914
Npas2,KO,1,2.0,4.749110176823004
Npas2,KO,1,4.0,4.845070626893989
Npas2,KO,1,6.0,4.76228232194702
Npas2,KO,1,8.0,5.368980494552633
Npas2,KO,1,10.0,4.7374994419836876
Npas2,KO,1,12.0,5.056870966975431
Npas2,KO,1,14.0,4.755201962211903
Npas2,KO,1,16.0,4.982669175895821
Npas2,KO,1,18.0,4.791293748442301
Npas2,KO,1,20.0,4.803098082607193
Npas2,KO,1,22.0,5.306786524202603
