gene,condition,replicate,time_h,log2_expr
Arntl,WT,1,0.0,4.48604311769272
Arntl,WT,1,2.0,4.1471296805367945
Arntl,WT,1,4.0,3.681430147383926
Arntl,WT,1,6.0,3.1385404393723277
Arntl,WT,1,8.0,3.8012215206120894
Arntl,WT,1,10.0,4.011962063178027
Arntl,WT,1,12.0,4.217897849939748
Arntl,WT,1,14.0,4.9524191093329435
Arntl,WT,1,16.0,5.2325943973235045
Arntl,WT,1,18.0,5.337549266693412
Arntl,WT,1,20.0,5.148557190668424
Arntl,WT,1,22.0,4.943818461101049
Arntl,WT,1,24.0,4.168023350877839
Arntl,WT,1,26.0,3.8596415604755205
Arntl,WT,1,28.0,3.4543530491561616
Arntl,WT,1,30.0,3.614041281765138
Arntl,WT,1,32.0,3.608751056035321
Arntl,WT,1,34.0,3.868610317486239
Arntl,WT,1,36.0,4.204169240821095
Arntl,WT,1,38.0,4.783565677495166
Arntl,WT,1,40.0,5.166333079622047
Arntl,WT,1,42.0,5.193861206423128
Arntl,WT,1,44.0,5.439954526103947
Arntl,WT,1,46.0,5.0168620920554385
Arntl,WT,1,48.0,3.6268691640805195
Arntl,WT,2,0.0,3.927393758184605
Arntl,WT,2,2.0,3.8980321216477143
Arntl,WT,2,4.0,3.493273275443991
Arntl,WT,2,6.0,3.517740496648071
Arntl,WT,2,8.0,3.629213036699451
Arntl,WT,2,10.0,4.429828108849786
Arntl,WT,2,12.0,4.074130968106749
Arntl,WT,2,14.0,4.712738331502106
Arntl,WT,2,16.0,5.652144200150068
Arntl,WT,2,18.0,5.4256918915799925
Arntl,WT,2,20.0,5.30721747343354
Arntl,WT,2,22.0,4.678638621526072
Arntl,WT,2,24.0,3.9401180799143427
Arntl,WT,2,26.0,3.942235233529469
Arntl,WT,2,28.0,3.602136399281543
Arntl,WT,2,30.0,3.1574917150453374
Arntl,WT,2,32.0,3.428013863719766
Arntl,WT,2,34.0,3.923713585295704
Arntl,WT,2,36.0,4.163458450645111
Arntl,WT,2,38.0,4.823296245686829
Arntl,WT,2,40.0,5.188168291359824
Arntl,WT,2,42.0,5.271658492011842
Arntl,WT,2,44.0,4.989865657925817
Arntl,WT,2,46.0,4.913618031175445
Arntl,WT,2,48.0,4.527451522392594
Arntl,WT,3,0.0,4.479859145818164
Arntl,WT,3,2.0,3.737167587813928
Arntl,WT,3,4.0,3.7817339492844395
Arntl,WT,3,6.0,3.338969742656655
Arntl,WT,3,8.0,3.7946727085158063
Arntl,WT,3,10.0,3.632421565867663
Arntl,WT,3,12.0,4.580752959562014
Arntl,WT,3,14.0,4.802123719629985
Arntl,WT,3,16.0,4.829264075693382
Arntl,WT,3,18.0,5.185541274537819
Arntl,WT,3,20.0,5.154977200032361
Arntl,WT,3,22.0,4.87533804923905
Arntl,WT,3,24.0,4.106589841393011
Arntl,WT,3,26.0,3.623525785682485
Arntl,WT,3,28.0,3.6247790105379263
Arntl,WT,3,30.0,3.3476423243865305
Arntl,WT,3,32.0,3.657696932097463
Arntl,WT,3,34.0,4.131604385847106
Arntl,WT,3,36.0,3.9874495148225684
Arntl,WT,3,38.0,4.911460766779288
Arntl,WT,3,40.0,5.470459276376394
Arntl,WT,3,42.0,5.188380221655352
Arntl,WT,3,44.0,4.913734926695003
Arntl,WT,3,46.0,4.953241970023888
Arntl,WT,3,48.0,4.3680214128740475
Arntl,WT,4,0.0,4.623617837370913
Arntl,WT,4,2.0,3.855421217148685
Arntl,WT,4,4.0,3.2283663099075266
Arntl,WT,4,6.0,3.436827056095605
Arntl,WT,4,8.0,3.463425515691002
Arntl,WT,4,10.0,4.094199375598917
Arntl,WT,4,12.0,4.400544370874107
Arntl,WT,4,14.0,4.39942727517508
Arntl,WT,4,16.0,4.842660528251185
Arntl,WT,4,18.0,5.484963401676345
Arntl,WT,4,20.0,5.3113928846939364
Arntl,WT,4,22.0,4.647079372970815
Arntl,WT,4,24.0,4.351874673486435
Arntl,WT,4,26.0,4.01176243591783
Arntl,WT,4,28.0,3.691983961287976
Arntl,WT,4,30.0,3.683390277635069
Arntl,WT,4,32.0,3.662941935970297
Arntl,WT,4,34.0,3.918017420485387
Arntl,WT,4,36.0,4.334934340213344
Arntl,WT,4,38.0,5.111799437783197
Arntl,WT,4,40.0,4.601583965722826
Arntl,WT,4,42.0,5.228098101475136
Arntl,WT,4,44.0,5.124688598500411
Arntl,WT,4,46.0,4.4088437730114425
Arntl,WT,4,48.0,4.3878631871065235
Npas2,WT,1,0.0,4.581965381865935
Npas2,WT,1,2.0,4.637787339255915
Npas2,WT,1,4.0,4.198461352763756
Npas2,WT,1,6.0,4.387504223685972
Npas2,WT,1,8.0,4.700583201899677
Npas2,WT,1,10.0,4.804718077244365
Npas2,WT,1,12.0,4.855344400565646
Npas2,WT,1,14.0,5.01366734333319
Npas2,WT,1,16.0,6.014643868871
Npas2,WT,1,18.0,5.54847493024799
Npas2,WT,1,20.0,5.220106154530382
Npas2,WT,1,22.0,5.110339494792156
Npas2,WT,1,24.0,4.661133383938562
Npas2,WT,1,26.0,4.608908247505045
Npas2,WT,1,28.0,4.228698090721111
Npas2,WT,1,30.0,4.233296615856459
Npas2,WT,1,32.0,4.243530809318531
Npas2,WT,1,34.0,4.862177119912746
Npas2,WT,1,36.0,4.851352848987974
Npas2,WT,1,38.0,5.584328430791758
Npas2,WT,1,40.0,5.965980472900236
Npas2,WT,1,42.0,5.184544809214984
Npas2,WT,1,44.0,4.748710587263658
Npas2,WT,1,46.0,5.192465873751333
Npas2,WT,1,48.0,5.310695178349617
Npas2,WT,2,0.0,4.49455442275881
Npas2,WT,2,2.0,4.109502200476482
Npas2,WT,2,4.0,4.3771016072174564
Npas2,WT,2,6.0,4.010035515974032
Npas2,WT,2,8.0,4.269365929622688
Npas2,WT,2,10.0,4.621956314895052
Npas2,WT,2,12.0,5.207275207994306
Npas2,WT,2,14.0,5.2909214109110705
Npas2,WT,2,16.0,5.645768549511947
Npas2,WT,2,18.0,5.532164663821477
Npas2,WT,2,20.0,5.181079615526062
Npas2,WT,2,22.0,4.994318658341145
